DateTime,Date,Time,Month,Year,Day of Week,Hour,Accident Location,PCF Description,PCF Category,Involved Objects,Party at Fault,Suspected Serious Injury,Suspected Minor Injury,Suspected Possible Injury,Injury Severity,ObjectId,x,y
1/27/2017 1:02:00 AM,2017-01-26,17:02:00,1,2017,3.0,17,College Avenue & Webster Street,VC 22107: Unsafe turning or moving of vehicle on roadway,"Turning, Starting, Signaling",2 Car,Driver,0,0,0,No Injury,8056,-13609135.6378185,4559112.33776262
1/21/2015 8:32:00 PM,2015-01-21,12:32:00,1,2015,2.0,12,College Avenue & Webster Street,VC 22517: Opening vehicle door into traffic (Dooring),"Stopping, Standing, Park","1 Bicycle, 1 Car",Driver,0,0,0,Unspecified Injury,8057,-13609135.6378185,4559112.33776262
2/12/2014 4:07:00 PM,2014-02-12,08:07:00,2,2014,2.0,8,College Avenue & Webster Street,VC 22107: Unsafe turning or moving of vehicle on roadway,"Turning, Starting, Signaling",1 Parked Vehicle,Driver,0,0,0,No Injury,8058,-13609135.6378185,4559112.33776262
12/19/2013 9:56:00 PM,2013-12-19,13:56:00,12,2013,3.0,13,College Avenue & Webster Street,VC 22517: Opening vehicle door into traffic (Dooring),"Stopping, Standing, Park","1 Truck, 1 Car",Driver,0,0,0,No Injury,8059,-13609135.6378185,4559112.33776262
11/20/2013 1:32:00 AM,2013-11-19,17:32:00,11,2013,1.0,17,College Avenue & Webster Street,VC 22107: Unsafe turning or moving of vehicle on roadway,"Turning, Starting, Signaling",1 Parked Vehicle,Driver,0,0,0,No Injury,8060,-13609135.6378185,4559112.33776262
4/17/2013 11:14:00 PM,2013-04-17,16:14:00,4,2013,2.0,16,College Avenue & Webster Street,VC 21950(a): Failure to yield to pedestrian in crosswalk,Pedestrians,"1 Truck, 1 Pedestrian",Driver,0,0,0,Unspecified Injury,8061,-13609135.6378185,4559112.33776262
2/28/2013 7:31:00 PM,2013-02-28,11:31:00,2,2013,3.0,11,College Avenue & Webster Street,VC 22106: Unsafe starting or backing of vehicle on highway,"Turning, Starting, Signaling",2 Car,Driver,0,0,0,No Injury,8062,-13609135.6378185,4559112.33776262
2/28/2013 7:31:00 PM,2013-02-28,11:31:00,2,2013,3.0,11,College Avenue & Webster Street,Unknown / Not Stated,Other,"1 Car, 1 Pedestrian",Other,0,0,0,Unspecified Injury,8063,-13609135.6378185,4559112.33776262
7/24/2012 6:34:00 PM,2012-07-24,11:34:00,7,2012,1.0,11,College Avenue & Webster Street,VC 21703: Following too closely (Tailgating),"Driving, Overtaking, Passing","1 Motorcycle, 1 Car",Driver,0,0,0,Unspecified Injury,8064,-13609135.6378185,4559112.33776262
5/25/2012 9:30:00 PM,2012-05-25,14:30:00,5,2012,4.0,14,College Avenue & Webster Street,VC 22517: Opening vehicle door into traffic (Dooring),"Stopping, Standing, Park","1 Bicycle, 1 Truck",Driver,0,0,0,Unspecified Injury,8065,-13609135.6378185,4559112.33776262
11/25/2023 7:50:00 PM,2023-11-25,11:50:00,11,2023,5.0,11,College Avenue & Webster Street,VC 22106: Unsafe starting or backing of vehicle on highway,"Turning, Starting, Signaling","2 Car, 1 Parked Vehicle",Driver,0,0,0,No Injury,8066,-13609135.6378185,4559112.33776262
10/31/2024 8:30:00 PM,2024-10-31,13:30:00,10,2024,3.0,13,College Avenue & Webster Street,VC 22107: Unsafe turning or moving of vehicle on roadway,"Turning, Starting, Signaling","1 Truck, 1 Parked Vehicle",Driver,0,0,0,No Injury,8067,-13609135.6378185,4559112.33776262
11/10/2025 11:05:00 AM,2025-11-10,03:05:00,11,2025,0.0,3,College Avenue & Webster Street,VC 22107: Unsafe turning or moving of vehicle on roadway,"Turning, Starting, Signaling","1 Car, 1 Fixed Object, 1 Other",Driver,0,0,0,No Injury,8068,-13609135.6378185,4559112.33776262
7/27/2022 6:01:00 AM,2022-07-26,23:01:00,7,2022,1.0,23,Parker Street & San Pablo Avenue,VC 22106: Unsafe starting or backing of vehicle on highway,"Turning, Starting, Signaling","1 Car, 1 Parked Vehicle",Driver,0,0,0,No Injury,8069,-13613157.4615516,4559574.0350036
12/8/2022 8:08:00 PM,2022-12-08,12:08:00,12,2022,3.0,12,Parker Street & San Pablo Avenue,VC 21453(a): Failure to stop at red light or stop line,"Signs, Signals, Markings",2 Car,Driver,0,0,0,Unspecified Injury,8070,-13613157.4615516,4559574.0350036
6/20/2019 5:20:00 AM,2019-06-19,22:20:00,6,2019,2.0,22,Parker Street & San Pablo Avenue,VC 21650.1: Bicycle operating on wrong side of road,Other,"1 Bicycle, 1 Car",Bicyclist,0,0,0,Unspecified Injury,8071,-13613157.4615516,4559574.0350036
3/6/2019 3:35:00 AM,2019-03-05,19:35:00,3,2019,1.0,19,Parker Street & San Pablo Avenue,VC 21950(a): Failure to yield to pedestrian in crosswalk,Pedestrians,"1 Car, 1 Pedestrian",Driver,0,0,0,Unspecified Injury,8072,-13613157.4615516,4559574.0350036
7/14/2018 12:29:00 AM,2018-07-13,17:29:00,7,2018,4.0,17,Parker Street & San Pablo Avenue,VC 22517: Opening vehicle door into traffic (Dooring),"Stopping, Standing, Park","1 Bicycle, 1 Parked Vehicle",Driver,0,0,0,Unspecified Injury,8073,-13613157.4615516,4559574.0350036
7/23/2018 4:00:00 PM,2018-07-23,09:00:00,7,2018,0.0,9,Parker Street & San Pablo Avenue,VC 22106: Unsafe starting or backing of vehicle on highway,"Turning, Starting, Signaling",2 Car,Driver,0,0,0,No Injury,8074,-13613157.4615516,4559574.0350036
12/1/2018 8:13:00 PM,2018-12-01,12:13:00,12,2018,5.0,12,Parker Street & San Pablo Avenue,Unknown / Not Stated,Other,"1 Truck, 1 Car",Driver,0,0,0,No Injury,8075,-13613157.4615516,4559574.0350036
